SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,B8:27:EB:A7:D5:7A,2020-06-26 19:25:21.622133,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-31
1,B8:27:EB:A7:D5:7A,2020-06-26 19:25:22.671655,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-36
2,B8:27:EB:A7:D5:7A,2020-06-26 19:25:23.690286,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
3,B8:27:EB:A7:D5:7A,2020-06-26 19:25:24.144042,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
4,B8:27:EB:A7:D5:7A,2020-06-26 19:25:25.232767,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-31
5,B8:27:EB:A7:D5:7A,2020-06-26 19:25:27.239183,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
6,B8:27:EB:A7:D5:7A,2020-06-26 19:25:28.062799,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-30
7,B8:27:EB:A7:D5:7A,2020-06-26 19:25:29.092834,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-30
8,B8:27:EB:A7:D5:7A,2020-06-26 19:25:30.589185,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-30
9,B8:27:EB:A7:D5:7A,2020-06-26 19:25:31.599109,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
10,B8:27:EB:A7:D5:7A,2020-06-26 19:25:33.605438,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
11,B8:27:EB:A7:D5:7A,2020-06-26 19:25:35.614197,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
12,B8:27:EB:A7:D5:7A,2020-06-26 19:25:36.052881,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-33
13,B8:27:EB:A7:D5:7A,2020-06-26 19:25:37.369263,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
14,B8:27:EB:A7:D5:7A,2020-06-26 19:25:38.681035,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-33
15,B8:27:EB:A7:D5:7A,2020-06-26 19:25:39.020331,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
16,B8:27:EB:A7:D5:7A,2020-06-26 19:25:41.031425,739422be-b81d-11ea-aad2-b827eb582a85,1,1,1,-34
